SubjectID,start,end
ACJ0296,27681,50729
ASB9606,13800,36849
CCM8304,14688,37731
CIS2572,28269,51314
CMJ1704,195768,218811
CS9686,32575,55620
HDB4124,22190,45237
HHS4095,7200,30242
HJI2422,110499,133541
HJM9735,30975,54023
IES1177,38340,61385
JDH4576,31930,54974
JHH3416,41844,64890
JHH9881,33369,56417
JHJ5772,12477,35520
JJS6341,15705,38751
JMS7550,37324,60368
JSI5651,45232,68274
JSJ1968,23035,46077
JSJ7286,18624,41668
JUY4470,12619,35667
JYJ9366,165780,165780
KHJ5053,156387,179430
KHJ7399,10882,33929
KHR3780,22874,45918
KHY2595,19554,42602
KJW1626,51530,74575
KMH9297,13555,36603
KMJ0971,37644,60689
KNH5832,38493,61536
KYE6331,24734,47781
KYR4085,9333,32381
KYS3629,24156,47199
LGW6602,5966,29013
LHS9077,9011,32058
LJH7304,34886,57933
LJJ5719,28920,51968
LJW2347,20245,43293
LMH4770,14791,37839
LSH0678,30783,53827
LSH0747,34422,57469
LSH4589,37357,60405
LSJ1269,22278,45325
LYR2479,348049,371091
LYS7147,27172,50218
LYW5895,22128,45173
ODB7507,36798,59841
OJM9942,37129,60176
PHG3008,25328,48376
PJH3401,35693,58738
PJY5851,159481,182524
PJY7945,18797,41845
PMS8563,9368,32415
PMY8265,19684,42728
PSJ7390,199696,222738
PSY0305,33543,56588
PTL1715,184147,207189
RCY1035,13142,36184
SEY6036,26595,49639
SHE7030,112480,135523
SJW2332,27112,65188
SMC1362,16534,39581
SMG6661,32123,55170
SYJ1963,134474,157517
YHK9654,182302,205345
YHS8420,8325,31367
YJU1842,16230,39276
YSJ0328,12892,35938
ACJ0296,27682,50730
ASB9606,13801,36850
CCM8304,14689,37732
CIS2572,28270,51315
CMJ1704,195769,218812
CS9686,32576,55621
HDB4124,22191,45238
HHS4095,7201,30243
HJI2422,110500,133542
HJM9735,30976,54024
IES1177,38341,61386
JDH4576,31931,54975
JHH3416,41845,64891
JHH9881,33370,56418
JHJ5772,12478,35521
JJS6341,15706,38752
JMS7550,37325,60369
JSI5651,45233,68275
JSJ1968,23036,46078
JSJ7286,18625,41669
JUY4470,12620,35668
JYJ9366,165781,165781
KHJ5053,156388,179431
KHJ7399,10883,33930
KHR3780,22875,45919
KHY2595,19555,42603
KJW1626,51531,74576
KMH9297,13556,36604
KMJ0971,37645,60690
KNH5832,38494,61537
KYE6331,24735,47782
KYR4085,9334,32382
KYS3629,24157,47200
LGW6602,5967,29014
LHS9077,9012,32059
LJH7304,34887,57934
LJJ5719,28921,51969
LJW2347,20246,43294
LMH4770,14792,37840
LSH0678,30784,53828
LSH0747,34423,57470
LSH4589,37358,60406
LSJ1269,22279,45326
LYR2479,348050,371092
LYS7147,27173,50219
LYW5895,22129,45174
ODB7507,36799,59842
OJM9942,37130,60177
PHG3008,25329,48377
PJH3401,35694,58739
PJY5851,159482,182525
PJY7945,18798,41846
PMS8563,9369,32416
PMY8265,19685,42729
PSJ7390,199697,222739
PSY0305,33544,56589
PTL1715,184148,207190
RCY1035,13143,36185
SEY6036,26596,49640
SHE7030,112481,135524
SJW2332,27113,65189
SMC1362,16535,39582
SMG6661,32124,55171
SYJ1963,134475,157518
YHK9654,182303,205346
YHS8420,8326,31368
YJU1842,16231,39277
YSJ0328,12893,35939
